variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
NE,46,621,YP,478,362.22990207092494,-24.219685759220724,-115.77009792907506
NE,47,611,SU,430,395.78665193280193,-7.956592573766993,-34.21334806719807
NE,48,651,CT,415,334.0031413312365,-19.517315341870717,-80.99685866876348
NE,49,746,QA,562,328.9892204538076,-41.46099280181359,-233.0107795461924
NE,50,741,BP,384,330.1209300419291,-14.03100780158096,-53.879069958070886
NE,51,742,EC,648,265.0878162230209,-59.09138638533628,-382.9121837769791
NE,52,743,BT,520,335.45648420610024,-35.48913765267303,-184.54351579389976
NE,53,744,PY,648,NA,NA,NA
NE,54,762,BC,384,377.5038892649743,-1.6916955039129415,-6.496110735025695
NE,55,802,WO,361,304.4682114803826,-15.659775213190416,-56.53178851961741
NE,56,823,BR,423,NA,NA,NA
NE,57,826,CK,336,NA,NA,NA
NE,58,835,PO,311,NA,NA,NA
NE,59,800,OK,361,NA,NA,NA
NE,60,806,SO,315,300.67663872996246,-4.547098815884932,-14.323361270037537
NE,61,817,QI,370,NA,NA,NA
NE,62,827,WK,365,NA,NA,NA
NE,63,830,PN,455,279.9036684038275,-38.48271024091703,-175.0963315961725
NE,64,832,CO,417,328.0893661661871,-21.321494924175752,-88.91063383381288
NE,65,804,SW,361,228.25175539480932,-36.77236692664562,-132.74824460519068
NE,66,825,SN,336,NA,NA,NA
NE,67,833,RO,414,359.3207200429657,-13.207555545177364,-54.67927995703428
NE,68,812,SK,342,282.5186274570609,-17.392214193841838,-59.481372542939084
NE,69,837,BO,370,331.9735037732392,-10.277431412638053,-38.0264962267608
NE,70,813,CB,405,NA,NA,NA
NE,72,330,BU,371,NA,NA,NA
NE,73,332,YY,371,305.1981971327534,-17.736335004648673,-65.80180286724658
NE,74,374,WR,400,NA,NA,NA
NE,75,462,HK,420,NA,NA,NA
NE,76,521,PS,147,NA,NA,NA
NE,77,591,HY,155,408.0011500240642,163.22654840262206,253.0011500240642
NE,78,601,BN,283,NA,NA,NA
